"Block","ID","What we are testing","Before you start","What to do","What you should see","Priority","Tester","Date","Result","Notes"
"SIGN IN  (`/login`)","T-01","Sign in with email and password","You have an account and its password.","1. Open the portal.
2. Enter your email and password.
3. Press Sign in.","The password step is accepted and the screen asks for a code.","CRITICAL","","","Not Run",""
"SIGN IN  (`/login`)","T-02","The code arrives and signs you in","You are on the code step from T-01.","1. Read the code that was sent to you.
2. Enter it.
3. Press Verify.","You land on the dashboard, signed in, with your name shown.","CRITICAL","","","Not Run",""
"SIGN IN  (`/login`)","T-03","A wrong code is refused","You are on the code step.","1. Enter a code that is not the one you were sent.
2. Press Verify.","You are told the code is wrong and you stay signed out.","HIGH","","","Not Run",""
"SIGN IN  (`/login`)","T-04","A code cannot be used twice","You have signed in once with a code (T-02).","1. Sign out.
2. Sign in again with the same email and password.
3. Enter the PREVIOUS code.","The old code is refused; only the new one works.","HIGH","","","Not Run",""
"SIGN IN  (`/login`)","T-05","Wrong password","You know the account's real password.","1. Enter the right email with a wrong password.
2. Press Sign in.","You are told the details are wrong. No code is sent.","HIGH","","","Not Run",""
"SIGN IN  (`/login`)","T-06","Forgotten password","You can read the mail for this account.","1. Press Forgot password.
2. Enter your email.
3. Follow the mail and set a new password.
4. Sign in with the new password.","The new password works and the old one no longer does.","HIGH","","","Not Run",""
"SIGN IN  (`/login`)","T-07","Staying signed in","You are signed in.","1. Reload the page.
2. Open another screen.","You stay signed in; you are not asked for the code again.","MEDIUM","","","Not Run",""
"SIGN IN  (`/login`)","T-08","Sign out","You are signed in.","1. Press Sign out.
2. Press the browser Back button.","You are returned to the sign-in screen and Back does not get you in.","CRITICAL","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-09","Account details","You have full access.","1. Open the account details.
2. Change a contact detail and save.
3. Reload the page.","The change is saved and shown after reloading.","MEDIUM","","","Not Run","See known issues — this currently fails."
"ACCOUNTS  (`/accounts`)","T-10","Create an account","You have full access.","1. Press Create New.
2. Fill in a name, an email and permissions.
3. Save.
4. Sign in as that account in another browser profile.","The account appears in the list and can sign in.","HIGH","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-11","Permissions decide the menu","The account from T-10, with only Calls allowed.","1. Edit its permissions to Calls only.
2. Sign in as that account.","Only the screens it is allowed appear; the rest are not reachable, including by typing the address.","CRITICAL","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-12","Read-only permission","An account with read-only rights on a screen.","1. Sign in as it.
2. Open that screen and try to save a change.","The screen opens, the save is refused, nothing changes.","HIGH","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-13","Reset an account password","The account from T-10.","1. Open it.
2. Press Reset Password.
3. Sign in with the new password.","The new password works; the old one does not.","MEDIUM","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-14","API token for an account","You have full access.","1. Open an account.
2. Press Generate Basic Auth Token.
3. Note it.","A token is shown and can be copied.","LOW","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-15","Disable an account","The account from T-10.","1. Switch it off.
2. Try to sign in as it.","It cannot sign in while disabled, and can again once re-enabled.","HIGH","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-16","Delete an account","The account from T-10.","1. Delete it.
2. Reload the list.
3. Try to sign in as it.","It is gone from the list and cannot sign in.","MEDIUM","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-17","One customer cannot see another","needs: a second customer on the same system.","1. Sign in as an account of customer A.
2. Open the accounts list.","Only customer A's accounts are listed. Nothing of customer B appears anywhere.","CRITICAL","","","Not Run",""
"ACCOUNTS  (`/accounts`)","T-18","Finding an account","More than a page of accounts.","1. Search for one by name or email.
2. Page through the list.","The search finds it and paging does not lose or repeat rows.","LOW","","","Not Run",""
"MY ACCOUNT AND CUSTOMER  (`/account`)","T-19","Your own profile","You are signed in.","1. Open your account.
2. Change your display name and save.
3. Reload.","The new name is kept and is shown in the top bar.","MEDIUM","","","Not Run",""
"MY ACCOUNT AND CUSTOMER  (`/account`)","T-20","Company details","You have full access.","1. Open the customer details.
2. Change the company contact details and save.
3. Reload.","The change is kept.","MEDIUM","","","Not Run",""
"MY ACCOUNT AND CUSTOMER  (`/account`)","T-21","Switching customer","needs: an account with more than one customer.","1. Use the customer switcher.
2. Open Devices and Calls.","Every screen now shows the other customer's data, and nothing of the first.","HIGH","","","Not Run",""
"MY ACCOUNT AND CUSTOMER  (`/account`)","T-22","Changing your password","You know your current password.","1. Change your password.
2. Sign out and back in.","Only the new password works.","MEDIUM","","","Not Run",""
"APPLICATIONS  (`/environments`)","T-23","Create an application","You have full access.","1. Create an application with a name and a domain.
2. Save.","It appears in the list and can be picked in the environment selector.","CRITICAL","","","Not Run",""
"APPLICATIONS  (`/environments`)","T-24","Edit an application","The application from T-23.","1. Change its name and save.
2. Reload.","The new name shows everywhere it is listed.","MEDIUM","","","Not Run",""
"APPLICATIONS  (`/environments`)","T-25","Give an account access to it","The application from T-23 and a second account.","1. Add the application to that account.
2. Sign in as that account.","The account can now pick that application and see its data.","HIGH","","","Not Run",""
"APPLICATIONS  (`/environments`)","T-26","Delete an application","An application with at least one device, one user and one number on it.","1. Note what is on it.
2. Delete it.
3. Open Devices, Users and Routing.","The application is gone AND everything that belonged to it is gone too — no leftover devices, users or numbers.","HIGH","","","Not Run","The point of this row is the leftovers, not the application."
"APPLICATIONS  (`/environments`)","T-27","Bulk change","Several applications.","1. Select more than one.
2. Apply a change to all of them.","Every selected application is changed; the others are untouched.","LOW","","","Not Run",""
"USERS  (`/users`)","T-28","Create a user","An application exists.","1. Press Create User.
2. Fill in name, email and extension number.
3. Save.
4. Open Devices.","The user is listed AND a device for them appears on Devices.","CRITICAL","","","Not Run",""
"USERS  (`/users`)","T-29","The new user's phone can register","The user from T-28. needs: a softphone.","1. Configure the softphone with that extension and its password.
2. Register it.
3. Open Devices.","The phone registers and the device shows as online.","CRITICAL","","","Not Run","A device that exists but was never sent to its node looks fine here and refuses every registration — this row is what catches that."
"USERS  (`/users`)","T-30","The user can sign in to the portal","The user from T-28.","1. Sign in at the user portal with their email and password.","They reach their own screens (My calls, Phone) and see only their own calls.","CRITICAL","","","Not Run",""
"USERS  (`/users`)","T-31","Edit a user","The user from T-28.","1. Change their name and save.
2. Reload.","The change is kept and shows on their device too.","MEDIUM","","","Not Run",""
"USERS  (`/users`)","T-32","Import users from a file","A CSV of a few users.","1. Press Import CSV.
2. Choose the file.
3. Import.","Every row in the file becomes a user, and the count matches. Bad rows are reported rather than silently skipped.","MEDIUM","","","Not Run",""
"USERS  (`/users`)","T-33","Delete a user","The user from T-28.","1. Delete them.
2. Open Devices.
3. Try to register their softphone.","The user and their device are gone and the phone can no longer register.","HIGH","","","Not Run",""
"DEVICES  (`/extensions`)","T-34","Create a device","An application exists.","1. Press Add Device.
2. Fill in Name, Device Number and SIP Password.
3. Save.","It appears in the list straight away.","CRITICAL","","","Not Run",""
"DEVICES  (`/extensions`)","T-35","The device registers","The device from T-34. needs: a softphone.","1. Point the softphone at the platform with that number and password.
2. Register.
3. Reload the list.","The device shows as registered / online.","CRITICAL","","","Not Run",""
"DEVICES  (`/extensions`)","T-36","Call between two devices","Two registered devices. needs: two softphones.","1. From device A, dial device B's number.","B rings, the call connects, both sides have audio, and hanging up ends it on both.","CRITICAL","","","Not Run",""
"DEVICES  (`/extensions`)","T-37","Wrong password is refused","The device from T-34.","1. Set the wrong SIP password on the softphone.
2. Register.","Registration is refused and the device stays offline.","HIGH","","","Not Run",""
"DEVICES  (`/extensions`)","T-38","Edit a device","The device from T-34.","1. Change its name and save.
2. Reload.","The change is kept.","MEDIUM","","","Not Run",""
"DEVICES  (`/extensions`)","T-39","Change the SIP password","A registered device.","1. Change its SIP password.
2. Re-register the softphone with the new one.","The new password works; the old one is refused.","MEDIUM","","","Not Run",""
"DEVICES  (`/extensions`)","T-40","Import devices from a file","A CSV of a few devices.","1. Press Import CSV.
2. Choose the file and import.","Every row becomes a device and the count matches.","MEDIUM","","","Not Run",""
"DEVICES  (`/extensions`)","T-41","Filter the list","More than a page of devices.","1. Use the filters and the search box.
2. Page through.","Results match what you asked for; paging does not lose or repeat rows.","LOW","","","Not Run",""
"DEVICES  (`/extensions`)","T-42","Delete a device","The device from T-34.","1. Delete it.
2. Try to register its softphone.","It is gone from the list and can no longer register.","HIGH","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-43","Add a number","An application exists.","1. Press Add DID.
2. Enter the number and save.","It is listed against that application.","CRITICAL","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-44","A number rings a device","The number from T-43 and a registered device. needs: a way to dial the number.","1. Point the number at that device.
2. Call the number from outside.","The device rings, the call connects with audio both ways.","CRITICAL","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-45","A number goes to an IVR","An IVR with at least one option.","1. Point the number at the IVR.
2. Call it.
3. Press the option.","You hear the menu and the key press takes you where the option says.","HIGH","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-46","A number goes to a queue","A queue with an agent logged in.","1. Point the number at the queue.
2. Call it.","You hear the queue treatment and the agent's phone rings.","HIGH","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-47","Out-of-hours routing","A call condition for out of hours.","1. Put a condition on the number so out of hours goes elsewhere.
2. Call it inside hours, then outside.","Each call lands where the condition says.","MEDIUM","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-48","Copy a number's setup","A number that is fully set up.","1. Press Duplicate DID.
2. Give it another number and save.","The copy has the same routing, with the new number.","LOW","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-49","Import numbers from a file","A CSV of numbers.","1. Import DIDs from CSV.","Every row becomes a number and the count matches.","MEDIUM","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-50","Delete a number","The number from T-43.","1. Delete it.
2. Call it.","It is gone from the list and the call is not answered by the platform.","HIGH","","","Not Run",""
"ROUTING AND NUMBERS  (`/routing`)","T-51","Calling between two sites","needs: two PBXs / sites connected by a trunk rule.","1. From a phone on site A, dial a site B extension.","The call reaches site B and connects.","MEDIUM","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-52","Create a queue","A device to act as agent.","1. Press Create Queue.
2. Add the device as an agent.
3. Save.","The queue is listed with its agent.","HIGH","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-53","A queue call reaches the agent","The queue from T-52, agent registered.","1. Call into the queue.","The agent's phone rings; answering connects the caller; the call appears in Calls.","HIGH","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-54","Agent availability","The queue from T-52.","1. Set the agent unavailable.
2. Call the queue.
3. Set them available and call again.","An unavailable agent is not rung; an available one is.","MEDIUM","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-55","Create an IVR","An announcement to play.","1. Press Create IVR.
2. Add a greeting and at least one key option.
3. Save.","The IVR is listed with its options.","HIGH","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-56","Upload an announcement","An audio file.","1. Press Create New Announcement.
2. Upload the file and save.
3. Play it back on the screen.","The recording is stored and plays back correctly.","MEDIUM","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-57","Make an announcement from text","Text-to-speech configured.","1. Open an announcement.
2. Type the words and press Generate Audio.
3. Play it back.","The spoken audio matches the text and is saved.","MEDIUM","","","Not Run",""
